"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,11119173,5559586.500000,48.48,14630,11104543,7841752.685069
"hsa_queue_create",1,10352189,10352189.000000,45.14,10352189,10352189,0.00000000e+00
"hsa_executable_destroy",1,1035339,1035339.000000,4.51,1035339,1035339,0.00000000e+00
"hsa_executable_load_agent_code_object",1,217745,217745.000000,0.9495,217745,217745,0.00000000e+00
"hsa_executable_freeze",1,154177,154177.000000,0.6723,154177,154177,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,23749,23749.000000,0.1036,23749,23749,0.00000000e+00
"hsa_executable_create_alt",1,12320,12320.000000,0.0537,12320,12320,0.00000000e+00
"hsa_iterate_agents",1,11630,11630.000000,0.0507,11630,11630,0.00000000e+00
"hsa_signal_create",2,1700,850.000000,7.413e-03,310,1390,763.675324
"hsa_executable_get_symbol_by_name",2,1650,825.000000,7.195e-03,300,1350,742.462120
"hsa_signal_destroy",2,1030,515.000000,4.491e-03,350,680,233.345238
"hsa_agent_get_info",7,690,98.571429,3.009e-03,40,260,80.917359
"hsa_queue_load_write_index_relaxed",1,600,600.000000,2.616e-03,600,600,0.00000000e+00
"hsa_system_get_info",3,300,100.000000,1.308e-03,30,200,88.881944
"hsa_code_object_reader_destroy",1,240,240.000000,1.047e-03,240,240,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,210,210.000000,9.157e-04,210,210,0.00000000e+00
"hsa_executable_symbol_get_info",4,180,45.000000,7.849e-04,30,90,30.000000
"hsa_signal_store_relaxed",1,170,170.000000,7.413e-04,170,170,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,120,120.000000,5.233e-04,120,120,0.00000000e+00
"hsa_signal_store_screlease",1,110,110.000000,4.797e-04,110,110,0.00000000e+00
