"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",25,44513437,1780537.480000,79.84,7340,4000458,2008614.827885
"hsa_queue_create",1,10485635,10485635.000000,18.81,10485635,10485635,0.00000000e+00
"hsa_executable_freeze",2,346153,173076.500000,0.6209,123597,222556,69974.579959
"hsa_executable_load_agent_code_object",2,277925,138962.500000,0.4985,115268,162657,33509.083254
"hsa_code_object_reader_create_from_memory",2,38159,19079.500000,0.0684,13160,24999,8371.437182
"hsa_agent_get_info",60,30629,510.483333,0.0549,20,23469,3037.666274
"hsa_executable_create_alt",2,13110,6555.000000,0.0235,2320,10790,5989.194437
"hsa_isa_get_info_alt",2,11100,5550.000000,0.0199,1210,9890,6137.686861
"hsa_iterate_agents",1,10730,10730.000000,0.0192,10730,10730,0.00000000e+00
"hsa_signal_create",8,7030,878.750000,0.0126,120,1760,556.454016
"hsa_signal_load_relaxed",71,3800,53.521127,6.816e-03,20,470,71.835101
"hsa_executable_get_symbol_by_name",13,3440,264.615385,6.170e-03,100,1120,318.606743
"hsa_queue_load_read_index_scacquire",12,2329,194.083333,4.178e-03,30,529,147.654670
"hsa_queue_add_write_index_screlease",12,1320,110.000000,2.368e-03,30,920,255.876391
"hsa_system_get_info",4,1000,250.000000,1.794e-03,40,450,169.901932
"hsa_executable_symbol_get_info",26,890,34.230769,1.596e-03,20,100,18.368032
"hsa_signal_silent_store_relaxed",14,830,59.285714,1.489e-03,20,190,57.974037
"hsa_signal_store_screlease",12,820,68.333333,1.471e-03,20,450,121.568038
"hsa_signal_destroy",2,760,380.000000,1.363e-03,250,510,183.847763
"hsa_system_get_major_extension_table",1,590,590.000000,1.058e-03,590,590,0.00000000e+00
"hsa_queue_load_read_index_relaxed",3,520,173.333333,9.327e-04,60,250,100.166528
"hsa_agent_iterate_isas",1,370,370.000000,6.637e-04,370,370,0.00000000e+00
